type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorialThird,38.9,16.6,44.5,5,11-15,35.6,21.9,42.5,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,16-20,20.7,24.1,55.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,21-25,33.3,28.3,38.4,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,26-30,49.0,22.4,28.6,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,31-35,41.8,10.9,47.3,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,36-40,48.4,19.4,32.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,41-45,36.8,28.9,34.3,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,46-50,30.5,11.9,57.6,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,51-55,39.7,8.6,51.7,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,56-60,45.7,17.1,37.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,61-65,43.9,4.9,51.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,66-70,48.9,11.1,40.0,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,71-75,19.6,4.3,76.1,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,76-80,50.0,0.0,50.0,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,81-85,54.2,16.7,29.1,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,5,86-90,26.5,20.6,52.9,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,15,0-15,41.2,20.6,38.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
